IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
13.48.177.73,2052,0,false,ORD,North America,Chicago,222,0.00
18.134.5.208,2096,0,false,ORD,North America,Chicago,190,0.00
16.171.114.107,2052,0,false,ORD,North America,Chicago,210,0.00
35.86.153.133,2052,0,false,ORD,North America,Chicago,196,0.00
18.133.73.181,2087,0,false,ORD,North America,Chicago,199,0.00
51.20.107.252,80,0,false,ORD,North America,Chicago,185,0.00
35.93.212.150,2053,0,false,ORD,North America,Chicago,214,0.00
35.92.203.28,2083,0,false,ORD,North America,Chicago,214,0.00
13.213.49.34,80,0,false,SIN,Asia Pacific,Singapore,5,0.00
35.93.212.150,2086,0,false,ORD,North America,Chicago,215,0.00
18.196.69.56,80,0,false,ORD,North America,Chicago,187,0.00
16.171.114.107,2087,0,false,ORD,North America,Chicago,196,0.00
54.183.241.202,8880,0,false,ORD,North America,Chicago,186,0.00
54.183.241.202,8080,0,false,ORD,North America,Chicago,175,0.00
16.170.234.174,8443,0,false,ORD,North America,Chicago,227,0.00
16.171.114.107,2053,0,false,ORD,North America,Chicago,214,0.00
16.171.114.107,2095,0,false,ORD,North America,Chicago,213,0.00
18.133.73.181,2095,0,false,ORD,North America,Chicago,184,0.00
16.170.163.135,2095,0,false,ORD,North America,Chicago,220,0.00
54.183.181.172,443,0,false,ORD,North America,Chicago,189,0.00
18.195.204.154,8443,0,false,ORD,North America,Chicago,201,0.00
18.170.71.79,8880,0,false,ORD,North America,Chicago,167,0.00
13.40.159.105,2087,0,false,ORD,North America,Chicago,164,0.00
18.134.5.208,8443,0,false,ORD,North America,Chicago,208,0.00
13.38.38.81,8880,0,false,ORD,North America,Chicago,165,0.00
18.175.53.10,80,0,false,ORD,North America,Chicago,184,0.00
13.37.234.226,2087,0,false,ORD,North America,Chicago,201,0.00
16.170.234.174,2087,0,false,ORD,North America,Chicago,209,0.00
54.200.66.180,80,0,false,ORD,North America,Chicago,211,0.00
54.200.66.180,8443,0,false,ORD,North America,Chicago,212,0.00
18.196.69.56,2095,0,false,ORD,North America,Chicago,190,0.00
18.196.69.56,2087,0,false,ORD,North America,Chicago,179,0.00
35.92.203.28,443,0,false,ORD,North America,Chicago,202,0.00
18.133.138.92,2087,0,false,ORD,North America,Chicago,165,0.00
51.20.107.252,2096,0,false,ORD,North America,Chicago,187,0.00
54.200.66.180,443,0,false,ORD,North America,Chicago,209,0.00
52.51.226.83,2052,0,false,ORD,North America,Chicago,181,0.00
13.51.193.227,443,0,false,ORD,North America,Chicago,214,0.00
18.171.220.157,2083,0,false,ORD,North America,Chicago,174,0.00
51.20.107.252,8080,0,false,ORD,North America,Chicago,185,0.00
18.196.69.56,2083,0,false,ORD,North America,Chicago,170,0.00
54.203.18.192,2095,0,false,ORD,North America,Chicago,205,0.00
13.48.163.100,80,0,false,ORD,North America,Chicago,207,0.00
16.171.114.107,8880,0,false,ORD,North America,Chicago,199,0.00
54.190.210.231,8880,0,false,ORD,North America,Chicago,206,0.00
51.20.107.252,2052,0,false,ORD,North America,Chicago,188,0.00
13.48.177.73,80,0,false,ORD,North America,Chicago,190,0.00
18.196.69.56,8443,0,false,ORD,North America,Chicago,201,0.00
16.170.163.135,2086,0,false,ORD,North America,Chicago,186,0.00
34.220.27.64,2086,0,false,ORD,North America,Chicago,207,0.00
52.51.226.83,8880,0,false,ORD,North America,Chicago,186,0.00
54.190.210.231,443,0,false,ORD,North America,Chicago,194,0.00
51.20.107.252,2083,0,false,ORD,North America,Chicago,212,0.00
18.195.204.154,443,0,false,ORD,North America,Chicago,190,0.00
16.171.114.107,443,0,false,ORD,North America,Chicago,212,0.00
54.203.18.192,2087,0,false,ORD,North America,Chicago,205,0.00
18.195.204.154,8080,0,false,ORD,North America,Chicago,188,0.00
18.133.138.92,8880,0,false,ORD,North America,Chicago,179,0.00
52.51.226.83,8443,0,false,ORD,North America,Chicago,172,0.00
18.171.225.97,8080,0,false,ORD,North America,Chicago,196,0.00
18.195.204.154,2082,0,false,ORD,North America,Chicago,173,0.00
54.200.161.81,8880,0,false,ORD,North America,Chicago,212,0.00
18.170.50.225,8080,0,false,ORD,North America,Chicago,205,0.00
18.133.138.92,2096,0,false,ORD,North America,Chicago,192,0.00
35.93.69.135,2087,0,false,ORD,North America,Chicago,194,0.00
18.133.73.181,2052,0,false,ORD,North America,Chicago,186,0.00
13.49.77.132,8880,0,false,ORD,North America,Chicago,206,0.00
18.195.204.154,2053,0,false,ORD,North America,Chicago,170,0.00
13.51.193.227,2082,0,false,ORD,North America,Chicago,214,0.00
54.200.161.81,443,0,false,ORD,North America,Chicago,203,0.00
18.144.48.4,2086,0,false,ORD,North America,Chicago,188,0.00
18.196.69.56,2086,0,false,ORD,North America,Chicago,183,0.00
13.211.91.134,2095,0,false,ORD,North America,Chicago,102,0.00
16.171.114.107,80,0,false,ORD,North America,Chicago,193,0.00
18.133.73.181,2082,0,false,ORD,North America,Chicago,165,0.00
18.236.98.43,8080,0,false,ORD,North America,Chicago,211,0.00
16.170.163.135,2083,0,false,ORD,North America,Chicago,207,0.00
13.51.193.227,2096,0,false,ORD,North America,Chicago,206,0.00
54.200.161.81,80,0,false,ORD,North America,Chicago,211,0.00
35.93.69.135,2096,0,false,ORD,North America,Chicago,222,0.00
18.171.225.97,2096,0,false,ORD,North America,Chicago,200,0.00
16.170.163.135,2087,0,false,ORD,North America,Chicago,214,0.00
13.60.4.88,8443,0,false,ORD,North America,Chicago,193,0.00
18.196.69.56,2082,0,false,ORD,North America,Chicago,201,0.00
18.171.225.97,8443,0,false,ORD,North America,Chicago,177,0.00
34.221.16.148,8880,0,false,ORD,North America,Chicago,210,0.00
13.51.193.227,2052,0,false,ORD,North America,Chicago,208,0.00
13.49.77.132,80,0,false,ORD,North America,Chicago,229,0.00
13.49.77.132,2087,0,false,ORD,North America,Chicago,214,0.00
34.221.16.148,80,0,false,ORD,North America,Chicago,209,0.00
34.216.236.95,2082,0,false,ORD,North America,Chicago,207,0.00
13.60.4.88,2052,0,false,ORD,North America,Chicago,200,0.00
34.220.27.64,2083,0,false,ORD,North America,Chicago,193,0.00
34.221.16.148,2082,0,false,ORD,North America,Chicago,202,0.00
18.133.138.92,2086,0,false,ORD,North America,Chicago,188,0.00
18.171.225.97,2095,0,false,ORD,North America,Chicago,194,0.00
13.211.91.134,8080,0,false,ORD,North America,Chicago,120,0.00
18.134.155.132,8443,0,false,ORD,North America,Chicago,182,0.00
54.179.47.255,80,0,false,ORD,North America,Chicago,3,0.00
18.133.138.92,2052,0,false,ORD,North America,Chicago,180,0.00
13.49.77.132,2086,0,false,ORD,North America,Chicago,212,0.00
13.57.187.117,2096,0,false,ORD,North America,Chicago,180,0.00
34.221.16.148,2096,0,false,ORD,North America,Chicago,206,0.00
54.153.87.252,443,0,false,ORD,North America,Chicago,188,0.00
34.221.16.148,2052,0,false,ORD,North America,Chicago,209,0.00
13.49.72.66,2086,0,false,ORD,North America,Chicago,202,0.00
34.220.27.64,80,0,false,ORD,North America,Chicago,208,0.00
54.179.44.51,80,0,false,ORD,North America,Chicago,3,0.00
54.179.39.14,80,0,false,ORD,North America,Chicago,3,0.00
18.170.71.79,2083,0,false,ORD,North America,Chicago,183,0.00
18.236.98.43,2086,0,false,ORD,North America,Chicago,208,0.00
18.222.215.181,2087,0,false,ORD,North America,Chicago,261,0.00
18.133.138.92,2082,0,false,ORD,North America,Chicago,172,0.00
54.153.87.252,2083,0,false,ORD,North America,Chicago,186,0.00
35.92.203.28,2053,0,false,ORD,North America,Chicago,212,0.00
18.117.240.76,2083,0,false,ORD,North America,Chicago,227,0.00
13.48.109.48,80,0,false,ORD,North America,Chicago,221,0.00
13.57.187.117,2052,0,false,ORD,North America,Chicago,186,0.00
54.153.87.252,8443,0,false,ORD,North America,Chicago,187,0.00
34.220.27.64,443,0,false,ORD,North America,Chicago,208,0.00
34.220.27.64,8080,0,false,ORD,North America,Chicago,195,0.00
18.219.187.111,2083,0,false,ORD,North America,Chicago,230,0.00
18.170.71.79,443,0,false,ORD,North America,Chicago,174,0.00
3.21.101.158,80,0,false,ORD,North America,Chicago,260,0.00
13.57.187.117,2083,0,false,ORD,North America,Chicago,187,0.00
18.236.98.43,2083,0,false,ORD,North America,Chicago,202,0.00
18.221.182.255,8880,0,false,ORD,North America,Chicago,244,0.00
18.191.164.46,8880,0,false,ORD,North America,Chicago,230,0.00
18.117.240.76,2086,0,false,ORD,North America,Chicago,240,0.00
35.92.203.28,8080,0,false,ORD,North America,Chicago,217,0.00
18.133.138.92,8080,0,false,ORD,North America,Chicago,160,0.00
18.220.69.226,2082,0,false,ORD,North America,Chicago,259,0.00
54.153.87.252,80,0,false,ORD,North America,Chicago,191,0.00
13.51.193.227,8880,0,false,ORD,North America,Chicago,219,0.00
16.170.163.135,80,0,false,ORD,North America,Chicago,198,0.00
54.153.87.252,2095,0,false,ORD,North America,Chicago,192,0.00
18.216.203.15,2053,0,false,ORD,North America,Chicago,246,0.00
18.191.153.209,2096,0,false,ORD,North America,Chicago,244,0.00
54.153.87.252,8880,0,false,ORD,North America,Chicago,182,0.00
18.191.164.46,8443,0,false,ORD,North America,Chicago,240,0.00
34.220.27.64,2052,0,false,ORD,North America,Chicago,201,0.00
3.135.233.139,443,0,false,ORD,North America,Chicago,240,0.00
18.216.201.212,2052,0,false,ORD,North America,Chicago,241,0.00
13.51.193.227,80,0,false,ORD,North America,Chicago,206,0.00
13.51.193.227,8080,0,false,ORD,North America,Chicago,208,0.00
18.220.136.142,2095,0,false,ORD,North America,Chicago,260,0.00
34.216.236.95,80,0,false,ORD,North America,Chicago,209,0.00
54.184.44.137,2095,0,false,ORD,North America,Chicago,194,0.00
18.222.215.181,2052,0,false,ORD,North America,Chicago,249,0.00
3.15.191.123,2096,0,false,ORD,North America,Chicago,227,0.00
3.145.120.225,2095,0,false,ORD,North America,Chicago,240,0.00
3.142.122.183,2087,0,false,ORD,North America,Chicago,262,0.00
3.15.191.123,8080,0,false,ORD,North America,Chicago,228,0.00
18.117.240.76,8443,0,false,ORD,North America,Chicago,241,0.00
18.117.240.76,2052,0,false,ORD,North America,Chicago,240,0.00
18.188.98.205,2083,0,false,ORD,North America,Chicago,262,0.00
18.118.6.76,8880,0,false,ORD,North America,Chicago,240,0.00
3.129.90.134,2082,0,false,ORD,North America,Chicago,257,0.00
34.220.27.64,2096,0,false,ORD,North America,Chicago,199,0.00
35.92.203.28,80,0,false,ORD,North America,Chicago,194,0.00
18.220.69.226,2096,0,false,ORD,North America,Chicago,256,0.00
18.196.69.56,443,0,false,ORD,North America,Chicago,185,0.00
34.220.27.64,2082,0,false,ORD,North America,Chicago,201,0.00
18.117.153.173,2052,0,false,ORD,North America,Chicago,244,0.00
18.170.71.79,2086,0,false,ORD,North America,Chicago,169,0.00
3.135.236.0,80,0,false,ORD,North America,Chicago,227,0.00
16.170.163.135,8443,0,false,ORD,North America,Chicago,207,0.00
3.101.105.217,2086,0,false,ORD,North America,Chicago,187,0.00
34.216.236.95,2087,0,false,ORD,North America,Chicago,209,0.00
18.191.153.209,8080,0,false,ORD,North America,Chicago,230,0.00
13.60.4.88,2096,0,false,ORD,North America,Chicago,223,0.00
18.170.71.79,2095,0,false,ORD,North America,Chicago,169,0.00
18.118.6.76,2086,0,false,ORD,North America,Chicago,241,0.00
54.184.44.137,2053,0,false,ORD,North America,Chicago,209,0.00
35.88.81.21,2096,0,false,ORD,North America,Chicago,202,0.00
18.117.197.34,2087,0,false,ORD,North America,Chicago,239,0.00
18.196.69.56,8880,0,false,ORD,North America,Chicago,195,0.00
18.117.197.34,8443,0,false,ORD,North America,Chicago,226,0.00
34.216.236.95,2053,0,false,ORD,North America,Chicago,208,0.00
34.216.236.95,8443,0,false,ORD,North America,Chicago,202,0.00
35.92.203.28,8880,0,false,ORD,North America,Chicago,214,0.00
3.129.90.134,2095,0,false,ORD,North America,Chicago,242,0.00
35.92.203.28,2082,0,false,ORD,North America,Chicago,214,0.00
35.92.203.28,8443,0,false,ORD,North America,Chicago,214,0.00
13.59.66.1,2096,0,false,ORD,North America,Chicago,240,0.00
3.101.105.217,8080,0,false,ORD,North America,Chicago,176,0.00
18.117.182.158,2087,0,false,ORD,North America,Chicago,240,0.00
35.88.81.21,8880,0,false,ORD,North America,Chicago,195,0.00
35.88.81.21,2052,0,false,ORD,North America,Chicago,207,0.00
54.203.18.192,8080,0,false,ORD,North America,Chicago,200,0.00
18.219.162.26,80,0,false,ORD,North America,Chicago,249,0.00
35.88.81.21,8080,0,false,ORD,North America,Chicago,194,0.00
18.219.162.26,8443,0,false,ORD,North America,Chicago,229,0.00
54.203.18.192,443,0,false,ORD,North America,Chicago,198,0.00
13.51.193.227,8443,0,false,ORD,North America,Chicago,225,0.00
35.88.81.21,80,0,false,ORD,North America,Chicago,208,0.00
35.88.81.21,443,0,false,ORD,North America,Chicago,205,0.00
18.221.182.255,443,0,false,ORD,North America,Chicago,262,0.00
15.188.80.247,8443,0,false,ORD,North America,Chicago,169,0.00
18.117.153.173,8880,0,false,ORD,North America,Chicago,240,0.00
18.117.123.146,8880,0,false,ORD,North America,Chicago,240,0.00
13.59.156.167,80,0,false,ORD,North America,Chicago,227,0.00
18.216.236.97,2053,0,false,ORD,North America,Chicago,241,0.00
18.216.201.212,80,0,false,ORD,North America,Chicago,241,0.00
18.222.215.181,8880,0,false,ORD,North America,Chicago,230,0.00
18.117.182.158,80,0,false,ORD,North America,Chicago,240,0.00
18.191.153.209,2095,0,false,ORD,North America,Chicago,244,0.00
18.220.69.226,2087,0,false,ORD,North America,Chicago,230,0.00
18.219.187.111,2086,0,false,ORD,North America,Chicago,250,0.00
3.12.144.146,80,0,false,ORD,North America,Chicago,241,0.00
18.219.187.111,2053,0,false,ORD,North America,Chicago,241,0.00
18.220.136.142,8880,0,false,ORD,North America,Chicago,246,0.00
18.216.236.97,2086,0,false,ORD,North America,Chicago,241,0.00
3.135.233.139,2083,0,false,ORD,North America,Chicago,256,0.00
13.213.39.29,80,0,false,SIN,Asia Pacific,Singapore,2,0.00
18.117.153.173,2083,0,false,ORD,North America,Chicago,240,0.00
18.220.250.70,2083,0,false,ORD,North America,Chicago,227,0.00
3.145.120.225,443,0,false,ORD,North America,Chicago,240,0.00
18.216.201.212,2096,0,false,ORD,North America,Chicago,246,0.00
54.203.18.192,2052,0,false,ORD,North America,Chicago,210,0.00
3.135.233.139,8080,0,false,ORD,North America,Chicago,241,0.00
13.211.91.134,2086,0,false,ORD,North America,Chicago,94,0.00
18.188.98.205,2082,0,false,ORD,North America,Chicago,243,0.00
3.143.226.26,80,0,false,ORD,North America,Chicago,244,0.00
18.222.215.181,2053,0,false,ORD,North America,Chicago,228,0.00
3.143.226.26,2087,0,false,ORD,North America,Chicago,228,0.00
18.191.164.46,80,0,false,ORD,North America,Chicago,243,0.00
54.203.18.192,2053,0,false,ORD,North America,Chicago,201,0.00
18.117.197.34,2053,0,false,ORD,North America,Chicago,226,0.00
18.216.203.15,2086,0,false,ORD,North America,Chicago,260,0.00
18.117.153.173,2053,0,false,ORD,North America,Chicago,226,0.00
18.188.98.205,2053,0,false,ORD,North America,Chicago,229,0.00
3.135.233.139,2087,0,false,ORD,North America,Chicago,241,0.00
18.117.123.146,2052,0,false,ORD,North America,Chicago,239,0.00
18.220.136.142,80,0,false,ORD,North America,Chicago,258,0.00
18.117.182.158,2082,0,false,ORD,North America,Chicago,240,0.00
99.79.95.3,80,0,false,ORD,North America,Chicago,259,0.00
13.211.91.134,2087,0,false,ORD,North America,Chicago,93,0.00
18.117.182.158,2053,0,false,ORD,North America,Chicago,256,0.00
18.222.215.181,8443,0,false,ORD,North America,Chicago,230,0.00
15.222.62.90,2095,0,false,ORD,North America,Chicago,245,0.00
18.223.25.15,80,0,false,ORD,North America,Chicago,244,0.00
3.99.147.136,8443,0,false,ORD,North America,Chicago,257,0.00
3.135.233.139,2086,0,false,ORD,North America,Chicago,241,0.00
18.220.250.70,8880,0,false,ORD,North America,Chicago,240,0.00
18.220.250.70,2095,0,false,ORD,North America,Chicago,241,0.00
18.222.215.181,2083,0,false,ORD,North America,Chicago,230,0.00
3.101.105.217,8880,0,false,ORD,North America,Chicago,188,0.00
18.191.164.46,2052,0,false,ORD,North America,Chicago,243,0.00
3.96.187.137,2052,0,false,ORD,North America,Chicago,258,0.00
18.220.69.226,8880,0,false,ORD,North America,Chicago,259,0.00
3.99.185.216,80,0,false,ORD,North America,Chicago,244,0.00
18.117.123.146,2053,0,false,ORD,North America,Chicago,240,0.00
