央视,#genre#
CCTV-13 新闻,http://61.173.95.181:4022/udp/239.45.1.198:5140#http://101.83.74.79:8686/udp/239.45.1.198:5140#http://115.171.216.54:4000/udp/225.1.8.168:8130#http://1.202.116.203:87/udp/225.1.8.168:8130#http://114.254.209.157:8888/rtp/239.3.1.124:8128#http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226537/index.m3u8
CCTV-14 少儿,http://61.173.95.181:4022/udp/239.45.3.23:5140#http://101.83.74.79:8686/udp/239.45.3.23:5140#http://115.171.216.54:4000/udp/225.1.8.14:8132#http://1.202.116.203:87/udp/225.1.8.14:8132#http://114.254.209.157:8888/rtp/239.3.1.65:8132#http://[2409:8087:5e01:34::23]:6610/ZTE_CMS/00000001000000060000000000000378/index.m3u8?IAS#http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/PLTV/88888888/8/3221225732/index.m3u8
CCTV-15 音乐,http://61.173.95.181:4022/udp/239.45.1.200:5140#http://101.83.74.79:8686/udp/239.45.1.200:5140#http://115.171.216.54:4000/udp/225.1.8.74:8136#http://1.202.116.203:87/udp/225.1.8.74:8136#http://114.254.209.157:8888/rtp/239.3.1.153:8136#http://[2409:8087:5e01:34::20]:6610/ZTE_CMS/00000001000000060000000000000501/index.m3u8?IAS#https://epg.pw/stream/6085b1ee65bdfe6d5512fe91890757573e1a6f4912485655fdcedb19f7eda497.m3u8
CCTV-16 奥林匹克,http://114.254.209.157:8888/rtp/239.3.1.184:8001#http://123.116.202.123:4022/rtp/239.3.1.184:8001#http://[2409:8087:1a0b:df::4020]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226100/index.m3u8
CCTV-4k,#https://itv.lat/tv/live.php?&line=1&id=cctv164k#http://27.222.3.214/liveali-tp4k.cctv.cn/live/4K10M.stream/playlist.m3u8#https://epg.pw/stream/880cf2911be2cb89b60ce088e1727d834425895cf417ae5987247c2bd10659e7.m3u8#https://epg.pw/stream/501663699bfe2985114ba99756ec4b5de3b0f08235fe918b6185add216839c2b.m3u8
CCTV-8k,https://epg.pw/stream/12c4722b400606e9f17e446f03738627390aa03e60b7cea9a4fe15016cc6e079.m3u8#https://pi.0472.org/live/cctv8k.m3u8?token=241703
CCTV-17 农业农村,http://61.173.95.181:4022/udp/239.45.3.52:5140#http://101.83.74.79:8686/udp/239.45.3.52:5140#http://115.171.216.54:4000/udp/225.1.8.17:8144#http://1.202.116.203:87/udp/225.1.8.17:8144#http://114.254.209.157:8888/rtp/239.3.1.151:8144#农业农村,http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/PLTV/88888888/8/3221225765/index.m3u8
CCTV-兵器科技,https://epg.pw/stream/eefe6cb512978f2ae6655942726d3db62226f7a84f4b2a25e4bc3babaaaa596a.m3u8
CCTV-高尔夫网球HD,http://114.218.162.126:5566/udp/239.49.8.86:8000
高尔夫网球,https://epg.pw/stream/c09498d71ff529f6154eaea6b75cb63281d12a8a45cc08b6c9a5da0a4a4afdca.m3u8#http://[2409:8087:7001:20:2::3]:80/dbiptv.sn.chinamobile.com/PLTV/88888893/224/3221226978/index.m3u8#https://epg.pw/stream/29e7638e4cb0479909c520cdaaa4d0fd884a517af1a0df1e59897dd173163c72.m3u8
