IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
34.65.148.240,443,443,true,FRA,Europe,Frankfurt,203,10.11
34.154.45.253,443,443,true,FRA,Europe,Frankfurt,255,10.10
34.69.150.180,443,443,true,ORD,North America,Chicago,191,10.09
34.65.200.26,443,443,true,FRA,Europe,Frankfurt,174,10.09
34.122.12.237,443,443,true,ORD,North America,Chicago,190,10.08
34.65.138.12,443,443,true,FRA,Europe,Frankfurt,173,10.08
34.89.248.224,443,443,true,FRA,Europe,Frankfurt,203,10.08
34.65.227.116,443,443,true,FRA,Europe,Frankfurt,198,10.08
34.116.193.101,443,0,true,FRA,Europe,Frankfurt,186,10.06
34.90.123.5,443,443,true,FRA,Europe,Frankfurt,192,10.06
34.154.46.49,443,443,true,FRA,Europe,Frankfurt,191,10.06
34.65.104.227,443,443,true,FRA,Europe,Frankfurt,195,10.06
34.116.211.148,443,443,true,FRA,Europe,Frankfurt,187,10.05
34.118.32.216,443,443,true,FRA,Europe,Frankfurt,202,10.05
34.122.12.237,443,443,true,ORD,North America,Chicago,186,10.05
35.202.158.120,443,443,true,ORD,North America,Chicago,191,10.04
35.224.40.99,443,443,true,ORD,North America,Chicago,193,10.03
34.116.186.105,443,0,true,FRA,Europe,Frankfurt,188,10.03
34.116.206.127,443,443,true,FRA,Europe,Frankfurt,225,10.02
34.90.58.125,443,443,true,FRA,Europe,Frankfurt,215,10.02
34.118.11.48,443,443,true,FRA,Europe,Frankfurt,192,9.98
34.116.247.197,443,443,true,FRA,Europe,Frankfurt,187,9.95
34.29.228.169,443,443,true,ORD,North America,Chicago,194,9.94
34.65.227.116,443,443,true,FRA,Europe,Frankfurt,199,9.94
34.89.186.147,443,443,true,AMS,Europe,Amsterdam,179,9.94
34.90.117.230,443,443,true,FRA,Europe,Frankfurt,183,9.94
34.116.233.124,443,443,true,FRA,Europe,Frankfurt,184,9.92
34.90.78.95,443,443,true,FRA,Europe,Frankfurt,177,9.91
34.118.28.162,443,443,true,FRA,Europe,Frankfurt,258,9.90
34.118.19.212,443,443,true,FRA,Europe,Frankfurt,185,9.87
34.154.58.97,443,443,true,FRA,Europe,Frankfurt,253,9.87
34.65.3.75,443,443,true,FRA,Europe,Frankfurt,189,9.86
34.116.200.90,443,0,true,FRA,Europe,Frankfurt,192,9.85
34.65.104.227,443,443,true,FRA,Europe,Frankfurt,176,9.85
34.116.238.23,443,443,true,FRA,Europe,Frankfurt,218,9.82
34.29.228.169,443,443,true,ORD,North America,Chicago,205,9.81
34.118.97.51,443,443,true,FRA,Europe,Frankfurt,185,9.81
34.65.238.141,443,443,true,FRA,Europe,Frankfurt,181,9.80
34.116.200.248,443,443,true,FRA,Europe,Frankfurt,204,9.80
34.154.127.225,443,443,true,FRA,Europe,Frankfurt,197,9.78
34.116.186.105,443,443,true,FRA,Europe,Frankfurt,185,9.78
34.65.253.40,443,443,true,FRA,Europe,Frankfurt,182,9.78
34.116.221.87,443,443,true,FRA,Europe,Frankfurt,187,9.77
