IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
132.145.112.247,8880,8880,false,LAX,North America,Los Angeles,179,11.71
150.230.193.89,8080,0,false,HKG,Asia Pacific,Hong Kong,130,11.71
152.70.104.69,2096,2096,true,LAX,North America,Los Angeles,183,11.70
155.248.176.28,2052,2052,false,LAX,North America,Los Angeles,183,11.70
152.70.98.174,2087,2087,true,LAX,North America,Los Angeles,183,11.70
158.101.68.48,8443,8443,true,NRT,Asia Pacific,Tokyo,102,11.69
152.70.106.21,8443,8443,true,NRT,Asia Pacific,Tokyo,76,11.69
141.147.181.242,8880,8880,false,NRT,Asia Pacific,Tokyo,70,11.68
138.2.10.251,8880,8880,false,LAX,North America,Los Angeles,187,11.68
150.230.221.114,2052,2052,false,SIN,Asia Pacific,Singapore,145,11.68
132.145.125.165,2052,2052,false,NRT,Asia Pacific,Tokyo,70,11.67
158.101.89.33,2082,2082,false,NRT,Asia Pacific,Tokyo,78,11.66
141.147.189.242,2053,2053,true,LAX,North America,Los Angeles,180,11.66
158.101.95.113,2096,2096,true,SIN,Asia Pacific,Singapore,207,11.66
141.147.189.23,2053,2053,true,LAX,North America,Los Angeles,184,11.62
151.145.65.8,8443,8443,true,NRT,Asia Pacific,Tokyo,108,11.62
131.186.47.255,2052,2052,false,LAX,North America,Los Angeles,179,11.61
132.145.120.197,2053,2053,true,NRT,Asia Pacific,Tokyo,265,11.61
150.230.221.114,80,80,false,SIN,Asia Pacific,Singapore,148,11.60
150.230.221.114,2095,2095,false,LAX,North America,Los Angeles,181,11.60
141.147.191.132,2096,2096,true,LAX,North America,Los Angeles,187,11.59
132.145.122.95,2052,2052,false,NRT,Asia Pacific,Tokyo,79,11.59
151.145.70.28,2087,2087,true,NRT,Asia Pacific,Tokyo,216,11.59
158.101.65.24,2083,2083,true,LAX,North America,Los Angeles,217,11.58
155.248.182.244,2087,2087,true,NRT,Asia Pacific,Tokyo,70,11.58
168.138.206.236,2053,0,true,LAX,North America,Los Angeles,184,11.58
132.145.121.123,80,80,false,LAX,North America,Los Angeles,185,11.57
132.145.124.198,8080,8080,false,LAX,North America,Los Angeles,190,11.56
132.145.120.118,2083,2083,true,NRT,Asia Pacific,Tokyo,92,11.56
150.230.221.114,2083,2083,true,LAX,North America,Los Angeles,176,11.56
141.147.191.211,2053,2053,true,LAX,North America,Los Angeles,181,11.55
141.147.178.115,2096,2096,true,LAX,North America,Los Angeles,207,11.55
141.147.175.230,2053,2053,true,LAX,North America,Los Angeles,180,11.55
138.2.8.232,8080,8080,false,LAX,North America,Los Angeles,180,11.54
141.147.183.96,2083,2083,true,LAX,North America,Los Angeles,186,11.53
141.147.182.70,2096,2096,true,NRT,Asia Pacific,Tokyo,81,11.52
158.101.70.155,2053,2053,true,LAX,North America,Los Angeles,226,11.51
132.145.120.115,8880,8880,false,LAX,North America,Los Angeles,180,11.50
141.147.175.230,2083,2083,true,LAX,North America,Los Angeles,197,11.50
158.101.137.74,2052,0,false,LAX,North America,Los Angeles,185,11.49
141.148.231.71,443,443,true,FRA,Europe,Frankfurt,215,11.48
155.248.186.182,2096,2096,true,NRT,Asia Pacific,Tokyo,84,11.48
168.138.200.155,80,0,false,LAX,North America,Los Angeles,183,11.47
151.145.71.40,2052,2052,false,NRT,Asia Pacific,Tokyo,70,11.47
168.138.196.237,2082,0,false,SIN,Asia Pacific,Singapore,148,11.46
138.2.18.11,2086,2086,false,HKG,Asia Pacific,Hong Kong,137,11.45
141.147.183.96,80,80,false,LAX,North America,Los Angeles,189,11.45
138.2.8.232,2082,2082,false,LAX,North America,Los Angeles,186,11.44
141.148.226.191,443,443,true,AMS,Europe,Amsterdam,196,11.44
141.147.183.96,2052,2052,false,LAX,North America,Los Angeles,183,11.43
132.145.121.242,2086,2086,false,HKG,Asia Pacific,Hong Kong,127,11.42
131.186.39.42,2087,2087,true,NRT,Asia Pacific,Tokyo,104,11.42
141.147.168.159,2087,2087,true,LAX,North America,Los Angeles,213,11.40
141.147.165.179,2082,2082,false,NRT,Asia Pacific,Tokyo,69,11.40
138.2.31.68,2087,2087,true,HKG,Asia Pacific,Hong Kong,141,11.39
141.147.191.132,2053,2053,true,SIN,Asia Pacific,Singapore,147,11.38
158.179.178.142,2083,2083,true,NRT,Asia Pacific,Tokyo,110,11.36
168.138.194.121,2086,2086,false,LAX,North America,Los Angeles,195,11.36
138.2.10.251,2086,2086,false,LAX,North America,Los Angeles,188,11.36
131.186.44.38,8443,8443,true,NRT,Asia Pacific,Tokyo,86,11.34
150.230.219.83,2095,2095,false,LAX,North America,Los Angeles,180,11.33
152.70.107.26,2083,2083,true,LAX,North America,Los Angeles,185,11.32
132.145.121.175,2052,2052,false,LAX,North America,Los Angeles,174,11.32
141.147.181.242,2096,2096,true,NRT,Asia Pacific,Tokyo,87,11.32
151.145.68.104,2087,2087,true,LAX,North America,Los Angeles,190,11.31
155.248.160.83,2087,2087,true,LAX,North America,Los Angeles,188,11.31
138.2.20.230,8080,8080,false,LAX,North America,Los Angeles,188,11.31
150.230.202.132,2083,0,true,LAX,North America,Los Angeles,178,11.30
152.70.98.174,2096,2096,true,LAX,North America,Los Angeles,184,11.29
150.230.192.173,2087,2087,true,LAX,North America,Los Angeles,181,11.29
141.147.38.189,443,443,true,FRA,Europe,Frankfurt,180,11.28
131.186.47.223,8080,8080,false,LAX,North America,Los Angeles,174,11.28
141.147.178.202,8443,8443,true,LAX,North America,Los Angeles,178,11.28
193.123.38.152,443,443,true,AMS,Europe,Amsterdam,182,11.28
151.145.70.28,8443,8443,true,NRT,Asia Pacific,Tokyo,96,11.27
155.248.186.182,8443,8443,true,NRT,Asia Pacific,Tokyo,69,11.27
168.138.205.38,80,80,false,LAX,North America,Los Angeles,176,11.26
132.145.125.165,2082,2082,false,NRT,Asia Pacific,Tokyo,79,11.25
155.248.187.37,8880,8880,false,LAX,North America,Los Angeles,185,11.24
151.145.68.166,2096,2096,true,SIN,Asia Pacific,Singapore,166,11.24
158.179.178.145,2095,2095,false,NRT,Asia Pacific,Tokyo,89,11.20
138.2.29.102,2083,2083,true,LAX,North America,Los Angeles,262,11.20
132.145.114.14,2053,2053,true,NRT,Asia Pacific,Tokyo,113,11.20
152.70.104.69,2083,2083,true,LAX,North America,Los Angeles,188,11.19
158.179.190.253,2095,2095,false,NRT,Asia Pacific,Tokyo,70,11.19
141.147.118.29,443,443,true,CDG,Europe,Paris,181,11.14
141.147.183.96,2096,2096,true,SIN,Asia Pacific,Singapore,162,11.14
155.248.166.39,8443,8443,true,NRT,Asia Pacific,Tokyo,72,11.13
158.179.178.142,2082,2082,false,NRT,Asia Pacific,Tokyo,82,11.12
141.147.182.76,8443,8443,true,LAX,North America,Los Angeles,221,11.12
141.147.178.202,2083,2083,true,SIN,Asia Pacific,Singapore,164,11.11
131.186.63.184,2095,2095,false,LAX,North America,Los Angeles,195,11.11
152.70.111.251,8080,8080,false,NRT,Asia Pacific,Tokyo,69,11.10
158.179.182.19,2083,2083,true,LAX,North America,Los Angeles,327,11.10
158.101.65.24,8443,8443,true,LAX,North America,Los Angeles,205,11.09
158.101.89.33,2087,2087,true,NRT,Asia Pacific,Tokyo,127,11.09
158.179.186.234,80,80,false,NRT,Asia Pacific,Tokyo,91,11.09
138.2.11.179,2096,2096,true,NRT,Asia Pacific,Tokyo,117,11.08
141.147.178.115,2053,2053,true,LAX,North America,Los Angeles,233,11.07
158.179.186.138,2053,2053,true,LAX,North America,Los Angeles,258,11.07
131.186.40.31,2082,2082,false,HKG,Asia Pacific,Hong Kong,128,11.07
158.179.188.175,2096,2096,true,NRT,Asia Pacific,Tokyo,72,11.06
132.145.123.14,2086,2086,false,NRT,Asia Pacific,Tokyo,70,11.06
158.179.183.2,8880,8880,false,LAX,North America,Los Angeles,172,11.06
150.230.213.95,2082,2082,false,LAX,North America,Los Angeles,191,11.02
158.179.189.235,8880,8880,false,NRT,Asia Pacific,Tokyo,70,11.02
155.248.185.38,8080,8080,false,LAX,North America,Los Angeles,186,11.02
131.186.37.49,8443,8443,true,NRT,Asia Pacific,Tokyo,107,11.01
155.248.176.28,2086,2086,false,SIN,Asia Pacific,Singapore,143,11.01
151.145.74.199,8080,8080,false,NRT,Asia Pacific,Tokyo,82,11.00
158.179.182.19,8443,8443,true,LAX,North America,Los Angeles,192,11.00
141.147.164.153,8443,8443,true,NRT,Asia Pacific,Tokyo,75,11.00
141.147.109.165,443,443,true,FRA,Europe,Frankfurt,192,11.00
151.145.71.40,80,80,false,NRT,Asia Pacific,Tokyo,75,11.00
141.147.182.70,2083,2083,true,NRT,Asia Pacific,Tokyo,77,10.99
89.168.75.75,443,443,true,FRA,Europe,Frankfurt,182,10.98
89.168.99.39,443,443,true,EWR,North America,Newark,204,10.98
150.230.205.56,2087,2087,true,LAX,North America,Los Angeles,202,10.98
143.47.233.195,443,443,true,FRA,Europe,Frankfurt,179,10.98
155.248.169.71,8880,8880,false,SIN,Asia Pacific,Singapore,149,10.97
132.145.126.21,2053,2053,true,NRT,Asia Pacific,Tokyo,78,10.96
158.179.189.106,2082,2082,false,NRT,Asia Pacific,Tokyo,69,10.96
143.47.252.235,443,443,true,FRA,Europe,Frankfurt,195,10.96
193.123.35.249,443,443,true,AMS,Europe,Amsterdam,182,10.95
158.179.188.175,80,80,false,NRT,Asia Pacific,Tokyo,69,10.94
150.230.212.87,8080,8080,false,SIN,Asia Pacific,Singapore,148,10.93
132.145.127.21,8443,8443,true,NRT,Asia Pacific,Tokyo,72,10.93
132.145.123.159,80,80,false,NRT,Asia Pacific,Tokyo,76,10.92
132.145.127.51,2087,2087,true,LAX,North America,Los Angeles,191,10.90
150.230.202.132,2053,2053,true,SIN,Asia Pacific,Singapore,171,10.90
155.248.166.141,80,80,false,NRT,Asia Pacific,Tokyo,75,10.89
150.230.104.197,2083,0,true,LAX,North America,Los Angeles,188,10.89
151.145.68.104,2053,2053,true,LAX,North America,Los Angeles,262,10.89
193.123.60.23,443,443,true,FRA,Europe,Frankfurt,197,10.88
158.101.95.113,2087,2087,true,SIN,Asia Pacific,Singapore,184,10.87
193.123.62.249,443,443,true,FRA,Europe,Frankfurt,188,10.87
